date,symbol,price
2016-07-31,SOL,0.0
2016-08-31,SOL,0.0
2016-09-30,SOL,0.0
2016-10-31,SOL,0.0
2016-11-30,SOL,0.0
2016-12-31,SOL,0.0
2017-01-31,SOL,0.0
2017-02-28,SOL,0.0
2017-03-31,SOL,0.0
2017-04-30,SOL,0.0
2017-05-31,SOL,0.0
2017-06-30,SOL,0.0
2017-07-31,SOL,0.0
2017-08-31,SOL,0.0
2017-09-30,SOL,0.0
2017-10-31,SOL,0.0
2017-11-30,SOL,0.0
2017-12-31,SOL,0.0
2018-01-31,SOL,0.0
2018-02-28,SOL,0.0
2018-03-31,SOL,0.0
2018-04-30,SOL,0.0
2018-05-31,SOL,0.0
2018-06-30,SOL,0.0
2018-07-31,SOL,0.0
2018-08-31,SOL,0.0
2018-09-30,SOL,0.0
2018-10-31,SOL,0.0
2018-11-30,SOL,0.0
2018-12-31,SOL,0.0
2019-01-31,SOL,0.0
2019-02-28,SOL,0.0
2019-03-31,SOL,0.0
2019-04-30,SOL,0.0
2019-05-31,SOL,0.0
2019-06-30,SOL,0.0
2019-07-31,SOL,0.0
2019-08-31,SOL,0.0
2019-09-30,SOL,0.0
2019-10-31,SOL,0.0
2019-11-30,SOL,0.0
2019-12-31,SOL,0.0
2020-01-31,SOL,0.0
2020-02-29,SOL,0.0
2020-03-31,SOL,0.0
2020-04-30,SOL,0.7411890135877649
2020-05-31,SOL,0.5858132380721703
2020-06-30,SOL,0.8531268842862817
2020-07-31,SOL,1.688418732306239
2020-08-31,SOL,4.436663533464179
2020-09-30,SOL,2.945119038534579
2020-10-31,SOL,1.4406457973488311
2020-11-30,SOL,1.9133429784467304
2020-12-31,SOL,1.5378390877377932
2021-01-31,SOL,4.233485772671465
2021-02-28,SOL,13.310965118755188
2021-03-31,SOL,19.17575575187661
2021-04-30,SOL,42.5819452001649
2021-05-31,SOL,28.56228742665868
2021-06-30,SOL,33.92293267730953
2021-07-31,SOL,32.252691819301624
2021-08-31,SOL,109.6467328393857
2021-09-30,SOL,135.27916281520976
2021-10-31,SOL,193.33785373845143
2021-11-30,SOL,204.35042327956776
2021-12-31,SOL,172.50889438021562
2022-01-31,SOL,93.4025290287978
2022-02-28,SOL,85.56819666616444
2022-03-31,SOL,120.6985421756732
2022-04-30,SOL,94.09484079716265
2022-05-31,SOL,47.19388053427913
2022-06-30,SOL,33.91501146159494
2022-07-31,SOL,43.80347390626749
2022-08-31,SOL,31.46046207025344
2022-09-30,SOL,33.93599567295436
2022-10-31,SOL,32.90718815746148
2022-11-30,SOL,13.374085329507322
2022-12-31,SOL,9.888231243760044
2023-01-31,SOL,23.963335339722715
2023-02-28,SOL,22.693578143913324
2023-03-31,SOL,20.574404775975303
2023-04-30,SOL,23.12840167422879
2023-05-31,SOL,21.24838739611184
2023-06-30,SOL,17.998439800632905
2023-07-31,SOL,24.266784359176683
2023-08-31,SOL,20.84093889299245
2023-09-30,SOL,20.29416136400789
2023-10-31,SOL,34.95699301421437
2023-11-30,SOL,59.132384073791634
2023-12-31,SOL,101.98883539812844
2024-01-31,SOL,101.49112290376424
2024-02-29,SOL,117.4302841375136
2024-03-31,SOL,194.4810435647172
2024-04-30,SOL,137.6714796361837
2024-05-31,SOL,167.014473333231
2024-06-30,SOL,139.86689852094338
2024-07-31,SOL,179.0391933974778
2024-08-31,SOL,138.21975492529612
2024-09-30,SOL,158.623421883811
2024-10-31,SOL,175.07910306095894
2024-11-30,SOL,243.70089664594224
2024-12-31,SOL,190.70066508822853
2025-01-31,SOL,239.0471972633765
2025-02-28,SOL,137.60648163669737
2025-03-31,SOL,124.5806499329744
2025-04-30,SOL,146.49305755147196
2025-05-31,SOL,156.51262963204462
2025-06-30,SOL,153.31879559308874
2025-07-31,SOL,177.8780960276323
2025-08-31,SOL,202.7101419779933
2025-09-30,SOL,212.92955681530267
2025-10-31,SOL,184.2863711132605
2025-11-30,SOL,136.08875145366935
2025-12-31,SOL,125.76066206540068
2015-01-31,LINK,0.0
2015-02-28,LINK,0.0
2015-03-31,LINK,0.0
2015-04-30,LINK,0.0
2015-05-31,LINK,0.0
2015-06-30,LINK,0.0
2015-07-31,LINK,0.0
2015-08-31,LINK,0.0
2015-09-30,LINK,0.0
2015-10-31,LINK,0.0
2015-11-30,LINK,0.0
2015-12-31,LINK,0.0
2016-01-31,LINK,0.0
2016-02-29,LINK,0.0
2016-03-31,LINK,0.0
2016-04-30,LINK,0.0
2016-05-31,LINK,0.0
2016-06-30,LINK,0.0
2016-07-31,LINK,0.0
2016-08-31,LINK,0.0
2016-09-30,LINK,0.0
2016-10-31,LINK,0.0
2016-11-30,LINK,0.0
2016-12-31,LINK,0.0
2017-01-31,LINK,0.0
2017-02-28,LINK,0.0
2017-03-31,LINK,0.0
2017-04-30,LINK,0.0
2017-05-31,LINK,0.0
2017-06-30,LINK,0.0
2017-07-31,LINK,0.0
2017-08-31,LINK,0.0
2017-09-30,LINK,0.0
2017-10-31,LINK,0.0
2017-11-30,LINK,0.176531012243321
2017-12-31,LINK,0.645972637178712
2018-01-31,LINK,0.5978898270462802
2018-02-28,LINK,0.7181242964444599
2018-03-31,LINK,0.2894979356294369
2018-04-30,LINK,0.5112855334061484
2018-05-31,LINK,0.3352345131533783
2018-06-30,LINK,0.1813495875778298
2018-07-31,LINK,0.3182034417973916
2018-08-31,LINK,0.3022887034633034
2018-09-30,LINK,0.3297813241966323
2018-10-31,LINK,0.4522304407288456
2018-11-30,LINK,0.3324071105581541
2018-12-31,LINK,0.3032791650161079
2019-01-31,LINK,0.4222505928819791
2019-02-28,LINK,0.4276740302923696
2019-03-31,LINK,0.4950738323823073
2019-04-30,LINK,0.4296582896150793
2019-05-31,LINK,1.012296684782962
2019-06-30,LINK,3.801608339638893
2019-07-31,LINK,2.085211367692082
2019-08-31,LINK,1.8034896939398324
2019-09-30,LINK,1.7081928424147468
2019-10-31,LINK,2.6065555254735595
2019-11-30,LINK,2.336131407076696
2019-12-31,LINK,1.818553444700408
2020-01-31,LINK,2.910071295728357
2020-02-29,LINK,4.19211591174518
2020-03-31,LINK,2.143747399670718
2020-04-30,LINK,3.887684077320346
2020-05-31,LINK,4.162920323577822
2020-06-30,LINK,4.609761433667489
2020-07-31,LINK,7.436668850293689
2020-08-31,LINK,16.491168362323418
2020-09-30,LINK,10.091326632345272
2020-10-31,LINK,11.074030000827875
2020-11-30,LINK,13.32481403170872
2020-12-31,LINK,11.267102015910682
2021-01-31,LINK,23.49899812209637
2021-02-28,LINK,26.39261542619333
2021-03-31,LINK,27.76916825646867
2021-04-30,LINK,36.36092912445845
2021-05-31,LINK,26.850184493479823
2021-06-30,LINK,19.58252931552537
2021-07-31,LINK,22.34272877677846
2021-08-31,LINK,25.10889790639406
2021-09-30,LINK,22.92182228319293
2021-10-31,LINK,29.67432502773836
2021-11-30,LINK,24.97429320219976
2021-12-31,LINK,19.94977675067745
2022-01-31,LINK,17.81368951779501
2022-02-28,LINK,13.666505108966833
2022-03-31,LINK,17.235254703852835
2022-04-30,LINK,11.979549675929352
2022-05-31,LINK,7.463345271836964
2022-06-30,LINK,6.20385703423936
2022-07-31,LINK,7.812823833024956
2022-08-31,LINK,6.561880259520868
2022-09-30,LINK,7.905519852228618
2022-10-31,LINK,7.780460235024698
2022-11-30,LINK,7.327851103894599
2022-12-31,LINK,5.465573624265922
2023-01-31,LINK,6.911891686727434
2023-02-28,LINK,7.28043224428781
2023-03-31,LINK,7.241209483022592
2023-04-30,LINK,7.180186921633981
2023-05-31,LINK,6.611600138758318
2023-06-30,LINK,5.903961092299348
2023-07-31,LINK,7.562182226498121
2023-08-31,LINK,5.931985623892427
2023-09-30,LINK,7.957478510718355
2023-10-31,LINK,11.230300673011774
2023-11-30,LINK,14.489977341519456
2023-12-31,LINK,15.197976966244733
2024-01-31,LINK,15.437437826951967
2024-02-29,LINK,19.444220334585168
2024-03-31,LINK,18.949311063029523
2024-04-30,LINK,14.061254005927978
2024-05-31,LINK,17.957451061755325
2024-06-30,LINK,13.500418100658496
2024-07-31,LINK,13.137894004462956
2024-08-31,LINK,11.127440488968505
2024-09-30,LINK,12.47775128975984
2024-10-31,LINK,12.381973881811629
2024-11-30,LINK,18.314884538081003
2024-12-31,LINK,20.573582062287645
2025-01-31,LINK,24.490732702179567
2025-02-28,LINK,15.118496719725846
2025-03-31,LINK,13.381664699694973
2025-04-30,LINK,14.616960308101044
2025-05-31,LINK,13.919172939791416
2025-06-30,LINK,13.728201894134855
2025-07-31,LINK,17.718345478916774
2025-08-31,LINK,23.47428662331841
2025-09-30,LINK,21.741303376699825
2025-10-31,LINK,16.79015378193712
2025-11-30,LINK,13.00207363420856
2025-12-31,LINK,12.573140090270703
2015-01-31,OP,0.0
2015-02-28,OP,0.0
2015-03-31,OP,0.0
2015-04-30,OP,0.0
2015-05-31,OP,0.0
2015-06-30,OP,0.0
2015-07-31,OP,0.0
2015-08-31,OP,0.0
2015-09-30,OP,0.0
2015-10-31,OP,0.0
2015-11-30,OP,0.0
2015-12-31,OP,0.0
2016-01-31,OP,0.0
2016-02-29,OP,0.0
2016-03-31,OP,0.0
2016-04-30,OP,0.0
2016-05-31,OP,0.0
2016-06-30,OP,0.0
2016-07-31,OP,0.0
2016-08-31,OP,0.0
2016-09-30,OP,0.0
2016-10-31,OP,0.0
2016-11-30,OP,0.0
2016-12-31,OP,0.0
2017-01-31,OP,0.0
2017-02-28,OP,0.0
2017-03-31,OP,0.0
2017-04-30,OP,0.0
2017-05-31,OP,0.0
2017-06-30,OP,0.0
2017-07-31,OP,0.0
2017-08-31,OP,0.0
2017-09-30,OP,0.0
2017-10-31,OP,0.0
2017-11-30,OP,0.0
2017-12-31,OP,0.0
2018-01-31,OP,0.0
2018-02-28,OP,0.0
2018-03-31,OP,0.0
2018-04-30,OP,0.0
2018-05-31,OP,0.0
2018-06-30,OP,0.0
2018-07-31,OP,0.0
2018-08-31,OP,0.0
2018-09-30,OP,0.0
2018-10-31,OP,0.0
2018-11-30,OP,0.0
2018-12-31,OP,0.0
2019-01-31,OP,0.0
2019-02-28,OP,0.0
2019-03-31,OP,0.0
2019-04-30,OP,0.0
2019-05-31,OP,0.0
2019-06-30,OP,0.0
2019-07-31,OP,0.0
2019-08-31,OP,0.0
2019-09-30,OP,0.0
2019-10-31,OP,0.0
2019-11-30,OP,0.0
2019-12-31,OP,0.0
2020-01-31,OP,0.0
2020-02-29,OP,0.0
2020-03-31,OP,0.0
2020-04-30,OP,0.0
2020-05-31,OP,0.0
2020-06-30,OP,0.0
2020-07-31,OP,0.0
2020-08-31,OP,0.0
2020-09-30,OP,0.0
2020-10-31,OP,0.0
2020-11-30,OP,0.0
2020-12-31,OP,0.0
2021-01-31,OP,0.0
2021-02-28,OP,0.0
2021-03-31,OP,0.0
2021-04-30,OP,0.0
2021-05-31,OP,0.0
2021-06-30,OP,0.0
2021-07-31,OP,0.0
2021-08-31,OP,0.0
2021-09-30,OP,0.0
2021-10-31,OP,0.0
2021-11-30,OP,0.0
2021-12-31,OP,0.0
2022-01-31,OP,0.0
2022-02-28,OP,0.0
2022-03-31,OP,0.0
2022-04-30,OP,0.0
2022-05-31,OP,1.3984243604618247
2022-06-30,OP,0.5816922309669
2022-07-31,OP,1.8021672964250728
2022-08-31,OP,1.0785912603882484
2022-09-30,OP,0.9054108107609627
2022-10-31,OP,1.0414152841791855
2022-11-30,OP,0.8922572868595209
2022-12-31,OP,0.912108135752564
2023-01-31,OP,2.1299721360084547
2023-02-28,OP,2.896361003265976
2023-03-31,OP,2.288444416710867
2023-04-30,OP,2.179764821268585
2023-05-31,OP,1.4194768063603054
2023-06-30,OP,1.2228600459981125
2023-07-31,OP,1.6172986529173616
2023-08-31,OP,1.4834838750983788
2023-09-30,OP,1.3353956124429447
2023-10-31,OP,1.4204722454341745
2023-11-30,OP,1.6858034298120517
2023-12-31,OP,3.615758367051002
2024-01-31,OP,3.158656193116669
2024-02-29,OP,3.77472985372043
2024-03-31,OP,3.6571272908371903
2024-04-30,OP,2.494813445446137
2024-05-31,OP,2.477507062037108
2024-06-30,OP,1.7362922743486373
2024-07-31,OP,1.6274037051324473
2024-08-31,OP,1.4704359858994929
2024-09-30,OP,1.899990611502934
2024-10-31,OP,1.7207769110180235
2024-11-30,OP,2.385789125250138
2024-12-31,OP,1.8221203678775248
2025-01-31,OP,1.4557989918439125
2025-02-28,OP,1.1038395821219429
2025-03-31,OP,0.7432944473910743
2025-04-30,OP,0.7568426529097423
2025-05-31,OP,0.622160908657182
2025-06-30,OP,0.6091518499400104
2025-07-31,OP,0.7054165783323623
2025-08-31,OP,0.7068060563703715
2025-09-30,OP,0.6746051721420527
2025-10-31,OP,0.3995907285881382
2025-11-30,OP,0.3274252267331432
2025-12-31,OP,0.2712116593117868
